District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
1100011,Plainville School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,21%,2250,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1100261,Northwest Village School/Wheeler Clinic,08/31/2020,N/A,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,27%,132,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1105261,Oak Hill School at Middle School of Plainville,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,11,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1106161,Oak Hill School at Haddam-Killingworth High School,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,9,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1110011,Plymouth School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,1288,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1120011,Pomfret School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,21%,332,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1130011,Portland School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,15%,1266,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1130121,Oak Hill School at Portland,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,*,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1140011,Preston School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,11%,433,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1160011,Putnam School District,08/27/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,1093,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1170011,Redding School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,10%,808,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1180011,Ridgefield School District,08/28/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g9, g10, g11, g12","g6, g7, g8",33%,4484,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1190011,Rocky Hill School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,"g9, g10, g11, g12",63%,2667,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1210011,Salem School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,20%,376,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1220011,Salisbury School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,9%,311,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1230011,Scotland School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,*,89,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1240011,Seymour School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,31%,2106,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1250011,Sharon School District,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,13%,108,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1260011,Shelton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,27%,4404,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1270011,Sherman School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,10%,255,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1280011,Simsbury School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,17%,3957,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1290011,Somers School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,13%,1300,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1290321,The Speech Academy-Somersville,09/02/2020,"g1, g6, g8",N/A,g12,*,*,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1310011,Southington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,25%,6195,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1320011,South Windsor School District,09/08/2020,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,35%,4592,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1330011,Sprague School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,19%,254,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1340011,Stafford School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,21%,1347,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1350011,Stamford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,16377,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1350161,Villa Maria Education Center,09/03/2020,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,15,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1351321,IPPI Learning Academy: Stamford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,24,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1356621,The Spire School,09/08/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,*,45,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1356721,"The Pinnacle School, LLC",09/08/2020,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,15%,68,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1360011,Sterling School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,20%,307,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1370011,Stonington School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,1874,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1380011,Stratford School District,09/09/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,28%,6741,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1380121,IPPI Learning Academy: Stratford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,15%,67,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1390011,Suffield School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,2065,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1400011,Thomaston School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,822,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1410011,Thompson School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,21%,958,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1410161,River Run Academy at the Susan Wayne Center of Excellence,08/31/2020,N/A,N/A,"g5, g6, g7, g8, g9, g10, g11, g12",100%,47,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1410221,Bradley School-Windham County,08/26/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,12,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1420011,Tolland School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,13%,2243,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1430011,Torrington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,34%,3633,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1440011,Trumbull School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,26%,6744,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1440161,St. Vincent's Special Needs School Program,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,35%,77,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1450011,Union School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,24%,46,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1460011,Vernon School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,25%,3025,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1470011,Voluntown School District,08/31/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",PK,N/A,23%,245,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1480011,Wallingford School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,35%,5405,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1480161,Benhaven School,08/03/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,15%,41,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1480461,Benhaven Academy,09/01/2020,N/A,N/A,"g4, g5, g6, g7, g8, g9, g10, g11, g12",*,29,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1480521,High Road Academy - BEST Academy,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,37,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1485061,High Road School of Wallingford,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,70,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1500161,Devereux Glenholme School,09/10/2020,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,68,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1510011,Waterbury School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,68%,18429,,Public School Districts,Opportunity,"November 2, 2020 - November 6, 2020",11/12/2020
1520011,Waterford School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,2330,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1520161,Waterford Country School,08/31/2020,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,75,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1530011,Watertown School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7","g8, g9, g10, g11, g12",N/A,21%,2621,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1540011,Westbrook School District,09/01/2020,"PK, K, g1, g2, g3, g4",N/A,"g5, g6, g7, g8, g9, g10, g11, g12",63%,640,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1550011,West Hartford School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,16%,9214,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1550161,Gengras Center,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,18%,134,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1550261,Intensive Education Academy,09/08/2020,"g1, g2, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,29%,73,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1550361,American School for the Deaf,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,35%,93,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1550561,Ben Bronz Academy,09/08/2020,N/A,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,16%,51,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1550861,PACES,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,8,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1560011,West Haven School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,32%,5700,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1570011,Weston School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,12%,2258,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1580011,Westport School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,9%,5342,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1590011,Wethersfield School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,3539,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1600011,Willington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,21%,396,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1610011,Wilton School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,11%,3738,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1610221,Westport Day School,09/08/2020,N/A,"g8, g9, g10, g11, g12",N/A,*,14,,Approved Private Special Education Program,,"November 2, 2020 - November 6, 2020",11/12/2020
1620011,Winchester School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,18%,534,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1630011,Windham School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,39%,3247,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1640011,Windsor School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,34%,3293,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1650011,Windsor Locks School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g9, g10, g11, g12","g6, g7, g8",48%,1517,,Public School Districts,Alliance,"November 2, 2020 - November 6, 2020",11/12/2020
1660011,Wolcott School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,2167,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1670011,Woodbridge School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,23%,824,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
1690011,Woodstock School District,08/30/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,11%,921,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2010012,Regional School District 01,09/08/2020,N/A,"g9, g10, g11, g12",N/A,21%,312,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2040012,Regional School District 04,09/01/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,27%,820,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2050012,Regional School District 05,08/31/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,17%,2168,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2060012,Regional School District 06,08/26/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,"g7, g8, g9, g10, g11, g12",60%,877,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2070012,Regional School District 07,08/31/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,11%,980,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2080012,Regional School District 08,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,15%,1286,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2090012,Regional School District 09,09/08/2020,N/A,"g9, g10, g11, g12",N/A,10%,827,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2100012,Regional School District 10,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,13%,2206,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2110012,Regional School District 11,08/31/2020,"g7, g8, g9, g10, g11, g12",N/A,N/A,19%,200,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2120012,Regional School District 12,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,10%,697,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2130012,Regional School District 13,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,1422,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2140012,Regional School District 14,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,13%,1582,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2150012,Regional School District 15,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,13%,3497,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2160012,Regional School District 16,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,10%,1995,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2170012,Regional School District 17,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,11%,1847,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2180012,Regional School District 18,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,8%,1287,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2190012,Regional School District 19,09/09/2020,N/A,"g9, g10, g11, g12",N/A,35%,1105,,Regional School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2430014,Cooperative Educational Services,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,64%,794,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2440014,Area Cooperative Educational Services,09/03/2020,"K, g1, g2, g3, g4, g5, g9, g10, g11, g12","g6, g7, g8",N/A,32%,2160,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2450014,Learn,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,32%,2352,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,34%,438,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2630013,Odyssey Community School District,09/02/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,39%,327,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2640013,Integrated Day Charter School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,34%,353,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2650013,Interdistrict School for Arts and Comm District,08/31/2020,N/A,"g6, g7, g8",N/A,53%,281,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2680013,Common Ground High School District,09/04/2020,N/A,N/A,"g9, g10, g11, g12",100%,236,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2690013,The Bridge Academy District,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,43%,277,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2700013,Side By Side Charter School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,14%,235,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2720013,Explorations District,08/31/2020,N/A,"g9, g10, g11, g12",N/A,21%,85,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2790013,Amistad Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,1598,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2800013,New Beginnings Inc Family Academy District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,35%,499,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2830013,Park City Prep Charter School District,09/08/2020,N/A,N/A,"g5, g6, g7, g8",100%,356,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2850013,Achievement First Bridgeport Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",100%,852,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2860013,Highville Charter School District,09/08/2020,PK,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",90%,443,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2880013,Achievement First Hartford Academy District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,1196,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2890013,Elm City College Preparatory School District,09/02/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",100%,578,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2900013,Brass City Charter School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,58%,359,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2910013,Elm City Montessori School District,09/03/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",100%,259,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2940013,Great Oaks Charter School District,09/08/2020,N/A,N/A,"g6, g7, g8, g9, g10, g11, g12",100%,673,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2950013,Booker T. Washington Academy District,09/03/2020,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7",100%,480,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2960013,Stamford Charter School for Excellence District,09/08/2020,N/A,"K, g1, g2, g3, g4, g5, g6",N/A,45%,390,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2970013,Capital Preparatory Harbor School District,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,72%,781,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
9000016,Connecticut Technical Education and Career System,09/02/2020,N/A,"g9, g10, g11, g12",N/A,33%,11292,,CT Technical Education and Career Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
9010022,Norwich Free Academy District,08/31/2020,N/A,"g9, g10, g11, g12",N/A,25%,2113,,Endowed and Incorporated Academies Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
9020022,The Gilbert School District,09/08/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,20%,445,,Endowed and Incorporated Academies Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
9030022,The Woodstock Academy District,09/01/2020,N/A,N/A,"g9, g10, g11, g12",83%,1066,,Endowed and Incorporated Academies Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
0400011,East Granby School District,08/31/2020,Not reported,Not reported,Not reported,Not reported,Not reported,,Public School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2410014,Capitol Region Education Council,09/09/2020,Not reported,Not reported,Not reported,Not reported,Not reported,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2420014,EdAdvance,08/26/2020,Not reported,Not reported,Not reported,Not reported,Not reported,,Regional Education Service Center School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
2610013,Jumoke Academy District,09/03/2020,Not reported,Not reported,Not reported,Not reported,Not reported,,Public Charter School Districts,,"November 2, 2020 - November 6, 2020",11/12/2020
0010011,Andover School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,9%,179,,Public School Districts,,"November 9, 2020 - November 13, 2020",11/19/2020
0020011,Ansonia School District,09/02/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,35%,2238,,Public School Districts,Alliance,"November 9, 2020 - November 13, 2020",11/19/2020
0030011,Ashford School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,31%,368,,Public School Districts,,"November 9, 2020 - November 13, 2020",11/19/2020
0040011,Avon School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,21%,3116,,Public School Districts,,"November 9, 2020 - November 13, 2020",11/19/2020
0046821,The Webb School in the Valley,09/02/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,24,,Approved Private Special Education Program,,"November 9, 2020 - November 13, 2020",11/19/2020
0046921,Oak Hill School at Farmington Valley Montessori,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,14,,Approved Private Special Education Program,,"November 9, 2020 - November 13, 2020",11/19/2020
0050011,Barkhamsted School District,08/31/2020,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,10%,190,,Public School Districts,,"November 9, 2020 - November 13, 2020",11/19/2020
0070011,Berlin School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,16%,2695,,Public School Districts,,"November 9, 2020 - November 13, 2020",11/19/2020
